epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7284205555915833,0.9715535640716553,0.001,0.8238606452941895,0.6661865711212158
1,0.7770552635192871,0.8450491428375244,0.001,0.8402296304702759,0.6370290517807007
2,0.7861304879188538,0.8213233947753906,0.001,0.8492767214775085,0.611055314540863
3,0.7904044985771179,0.8072413206100464,0.001,0.8529941439628601,0.5966096520423889
4,0.7925397753715515,0.8000543117523193,0.001,0.8587824702262878,0.5849508047103882
5,0.7945327162742615,0.7936908006668091,0.001,0.8578788042068481,0.5825427770614624
6,0.7956944704055786,0.7888386845588684,0.001,0.8591418862342834,0.5778800845146179
7,0.796912431716919,0.7854495644569397,0.001,0.8598915338516235,0.5780408978462219
8,0.7967939972877502,0.783806324005127,0.001,0.8622568845748901,0.5699450969696045
9,0.7981529235839844,0.7807950377464294,0.001,0.8632838129997253,0.5685199499130249
10,0.7983350157737732,0.7789716720581055,0.001,0.8625512719154358,0.5700073838233948
11,0.798039972782135,0.7784264087677002,0.001,0.8631742596626282,0.5651993155479431
12,0.7988101243972778,0.7771772146224976,0.001,0.8640539646148682,0.5587090849876404
13,0.7988026142120361,0.77591472864151,0.001,0.8655155897140503,0.560734212398529
14,0.7993051409721375,0.7746685743331909,0.001,0.8635199666023254,0.5638500452041626
15,0.7989470958709717,0.7752964496612549,0.001,0.8667033910751343,0.5575580596923828
16,0.7990490794181824,0.7747818827629089,0.001,0.8644236922264099,0.5599960684776306
17,0.7993195056915283,0.7735543847084045,0.001,0.8587653636932373,0.5696392059326172
18,0.7994735240936279,0.773106038570404,0.001,0.8672990202903748,0.556029200553894
19,0.7998500466346741,0.7723203301429749,0.001,0.8668403029441833,0.5566914081573486
20,0.8000485897064209,0.7704185843467712,0.001,0.8672031760215759,0.5537686944007874
21,0.8003758788108826,0.7703709006309509,0.001,0.867199718952179,0.5557680726051331
22,0.7998418807983398,0.7716215252876282,0.001,0.8642730712890625,0.5611419677734375
23,0.7997802495956421,0.771664559841156,0.001,0.8671210408210754,0.5586171746253967
